,mean,id
1075,66.7997311827957,1075
1076,138.26612903225808,1076
1077,86.8024193548387,1077
1125,66.04166666666667,1125
1126,181.89247311827958,1126
1127,267.10215053763443,1127
1128,295.369623655914,1128
1129,339.0873655913978,1129
1130,420.6290322580645,1130
1131,144.29032258064515,1131
1132,44.54838709677419,1132
1172,6.604838709677419,1172
1173,22.34543010752688,1173
1174,25.63037634408602,1174
1175,11.182795698924732,1175
1176,20.176075268817204,1176
1177,269.14112903225805,1177
1178,417.40860215053766,1178
1179,471.2029569892473,1179
1180,538.2567204301075,1180
1181,698.4180107526881,1181
1182,405.7083333333333,1182
1183,101.96102150537635,1183
1184,19.20967741935484,1184
1221,5.043010752688172,1221
1222,9.994623655913978,1222
1223,16.557795698924732,1223
1224,25.504032258064516,1224
1225,5.364247311827957,1225
1227,162.09274193548387,1227
1228,317.5819892473118,1228
1229,420.0551075268817,1229
1230,639.9274193548387,1230
1231,657.9153225806451,1231
1232,742.611559139785,1232
1233,530.8938172043011,1233
1234,356.34139784946234,1234
1235,154.53897849462365,1235
1272,8.206989247311828,1272
1273,11.678763440860216,1273
1274,7.153225806451613,1274
1278,13.723118279569892,1278
1279,30.00537634408602,1279
1280,176.7258064516129,1280
1281,627.2352150537635,1281
1282,858.6008064516129,1282
1283,228.1505376344086,1283
1284,87.81182795698925,1284
1285,256.1774193548387,1285
1286,217.75672043010752,1286
1287,71.4489247311828,1287
1326,22.733870967741936,1326
1327,22.51478494623656,1327
1331,45.69489247311828,1331
1332,341.52150537634407,1332
1333,494.15860215053766,1333
1334,454.9462365591398,1334
1335,103.26209677419355,1335
1336,65.56989247311827,1336
1337,77.27284946236558,1337
1338,43.55241935483871,1338
1339,10.719086021505376,1339
1376,12.379032258064516,1376
1377,8.279569892473118,1377
1378,7.048387096774194,1378
1380,7.365591397849462,1380
1382,23.301075268817204,1382
1383,239.79301075268816,1383
1384,416.997311827957,1384
1385,231.33467741935485,1385
1386,38.149193548387096,1386
1387,28.948924731182796,1387
1388,21.188172043010752,1388
1389,13.96236559139785,1389
1390,14.981182795698924,1390
1426,5.498655913978495,1426
1431,17.681451612903224,1431
1434,9.560483870967742,1434
1435,8.575268817204302,1435
1436,30.623655913978496,1436
1437,30.02956989247312,1437
1438,10.981182795698924,1438
1439,7.21505376344086,1439
1441,5.081989247311828,1441
1442,7.059139784946237,1442
1480,10.432795698924732,1480
1482,11.060483870967742,1482
1483,10.911290322580646,1483
1530,12.13978494623656,1530
1532,7.120967741935484,1532
1533,9.88978494623656,1533
1580,5.461021505376344,1580
1630,5.15994623655914,1630
1684,12.713709677419354,1684
1733,5.420698924731183,1733
1734,214.84139784946237,1734
1783,186.3991935483871,1783
2068,95.05645161290323,2068
2069,10.545698924731182,2069
2118,146.49059139784947,2118
2119,34.69220430107527,2119
2168,68.53225806451613,2168
